"Chat Event Details"
"Time","Chat Event","Message"
08:08:27 AM,"Chat Created",""
09:06:33 AM,"Agent Engagement Invitation (Samit More)",""
09:07:02 AM,"Agent Accepted (Samit More)","Hi, my name is Samit. How may I help you?"
09:07:02 AM,"Lead Session Start (Samit More)",""
09:07:02 AM,"Agent Engagement Auto Accepted (Samit More)",""
09:07:02 AM,"Engagement Participant Entered (Samit More)",""
09:07:40 AM,"End-user Post","why always you"
09:11:06 AM,"End-user Absent",""
09:11:11 AM,"Agent Post (Samit More)","Hello, are you there?"
09:13:07 AM,"User Lost",""
09:13:07 AM,"User Disconnected from a Chat",""
09:13:07 AM,"Lead Session End (Samit More)",""
09:13:07 AM,"End-User Disconnected",""
09:15:48 AM,"Chat Released (Samit More)",""
